Employee_ID,Full_Name,Gender,Age,Department,Salary,Join_Date,City,Phone_Number,Performance_Score
EMP0026,Asad Hashmi,Female,49,HR,167043-,2022-07-13,Islamabad,03386755219,200
EMP0027, Sana Kiani ,Female,23,HR,82215,2016-08-05,Sialkot,+92-3482008855,22
EMP0028,Noreen,Male,thirty,H.R,231639,2011-05-16,Lahore,03394665987,11
EMP0029,Rabia Mirza,Male,120,HR,155992,2019-07-22,MULTAN,03072533168,
EMP0030,Parveen Ali,Male,42,Marketing,150420,2012-02-06,Rawalpindi,Not Given,55
EMP0031, Farah Sheikh ,Male,52,Sales,30430,2018-07-13,Queta,03439882729,1
EMP0032,Tahira,Female,55,I.T,5000000,2014-05-12,Karachi,0331-533-6155,4
EMP0033,nasreen saleem,Male,30,Operations,"$73,311",2011-05-13,LAHORE,03328615277,55
EMP0034,Farah Javed,male,56,IT,120363,2013-06-14,Faisalabad,03061517012,78
EMP0035,Mariam Malik,female,32,Marketing,185882,2017-09-10,Karachi,03015045722,
EMP0036,Hassan Saleem,female,34,Finance,119022,2015-06-27,Faisalabad,03270251644,-1
EMP0037,Irfan  Hussain,Male,28,Finance,88498,2022-10-21,Sialkot,0348 217 9030,84
EMP0038, Hina Hameed ,Male,36,Sales,192778,2011-07-31,Sialkot,03078965468,91
EMP0039,Muhammad Jafri,Male,42,,109316,2011-05-11,Islamabad,03379781516,2
EMP0040,Ali Khan,Female,,Operations,90212,10/18/2018,Lahore,03088219316,96
EMP0041,Zainab Rehman,female,55,Sales,149892,2012-02-26,Rawalpindi,03163792086,
EMP0042,Bilal Javed,F,36,IT,172236,2023-07-06,Faisalabad,03327421340,91
EMP0043,Parveen Durrani,Male,59,IT,69182,2018-12-06,Karachi,03078322723,82
EMP0044,Nasreen Kiani,F,53,Sales,190327,2023-01-07,Quetta,03167420189,25
EMP0045,Sana Hameed,Female,43,Sales,203830,2019-08-20,Karachi  ,03416060922,18
EMP0046,Akram Ahmed,M,26,Marketing,42583,2019-08-15,Lahore,03022587924,95
EMP0047,parveen javed,Male,56,Sales,10000000,2020-05-22,Faisalabad,0318-937-0781,82
EMP0048,Farah Hameed,Female,60,IT,162613,2012-06-13,Multan,03189234132,63
EMP0049,Asad Iqbal,Female,34,Sale,32555,2023-04-25,Karachi,03097559812,Good
EMP0050,NADIA RIZVI,Female,60,Finance,110601,2022-06-27,Gujranwala,,92
EMP0051,Shazia Akhtar,Male,37,Operations,141739,16/05/2016,Rawalpind,03176922183,54
EMP0052,Waqar Siddiqui,Female,55,Sales,61624,2014-09-28,Rawalpindi,,Poor
EMP0053,Nadia Akhtar,Male,34,Marketing,161428,2010-11-29,Peshawar,03236356418,11
EMP0054,Naveed Akhtar,female,38,IT,206005,2022-11-16,Peshawar,03475392698,Excellent
EMP0055,Kamran Hussain,Female,53,Sales,169637,,Peshawar,03071599960,200
EMP0056,Hassan Aziz,Male,28,Sales,216569,2018-04-19,Lahore ,03456255395,1
EMP0057,Parveen Jafri,F,44,IT,141005,2018-05-21,Islamabad,03341692245,58
EMP0058,Mariam Yousuf,F,25,Operations,204053,2014-10-25,Multan,0313 985 4281,3
EMP0059,Zainab Zaidi,Female,27,Finance,500,2013-07-30,Lahore,03127020143,99
EMP0060,Arif Butt,Male,46,Operations,50319,2014-09-22,Islamabad,N/A,50
EMP0061,Usman Sheikh,Male,43,I.T.,174476,2016-04-08,Islamabad,03283012855,9
EMP0062,Nadia Malik,Male,46,Operations,208220,2023-03-30,Rawalpindi,03030452685,93
EMP0063,Imran Sheikh,Female,,HR,77635,2021-03-25,peshawar,03350446864,38
EMP0064,Samina Naqvi,Female,55,operations,225564,2020-11-19,Karachi,03050279000,67
EMP0065,ASAD HASHMI,Male,45,IT,25975,2011-01-07,Multan,03271717603,94
EMP0066,Rizwan Malik,Female,53,IT,100446,2010-08-05,,,8
EMP0067,Ali  Durrani,Male,95,Marketing,244053,2020-07-20,Faisalabad,03326147671,500
EMP0068,Salma Javed,Male,47,Finance,80971,TBD,Rawalpindi ,03346901435,45
EMP0069,Mariam Sheikh,Male,34,Operations,226562,2022-02-24,Gujranwala,03429875393,51
EMP0070,PARVEEN DURRANI,Female,56,HR,109466,2012-12-16,Rawalpindi,,65
EMP0071,Faisal Durrani,Female,60,Operations,148856,2014-06-13,Peshawar,03248294101,
EMP0072,Hina Siddiqui,Female,,it,212592,2020-04-29,Islamabad,03414532520,49
EMP0073,Faisal Siddiqui,male,29,IT,"$68,789",2010-04-22,Peshawar,0334-634-5478,98
EMP0074,Sadia Naqvi,Female,58,Marketing,168900,2011-12-11,Lahore,03293080126,50
EMP0075,Tariq Saleem,FEMALE,44,Sales ,40007,00-00-0000,Sialkot,,36
EMP0076,Khadija Baig,Female,150,IT,170197-,2013-02-04,Gujranwala,03386026118,47
EMP0077,Nadia Ahmed,Male,22,HR,62246,2023-03-15,islamabad,03210197662,78
EMP0078,Sadia Hashmi,M,27,HR,61574,2010-06-10,LAHORE,03266807216,75
EMP0079,Bilal Sheikh,male,45,Sales,108522,2019-12-06,karachi,03059357629,58
EMP0080,Arif Mirza,Male,56,Sales,114176,2011-09-04,Gujranwala,03491569064,Excellent
EMP0081,Irfan Rizvi,Male,22,Operations,49188,2022-04-06,Islamabad,03425422230,40
EMP0082,Tahira Raza,M,31,,44675,2014-05-21,Quetta,03146119979,55
EMP0083,Akram Siddiqui,M,41,HR,125472,2023-02-11,Faisalabad,03097087978,80
EMP0084,Akram Baig,Female,,Sales,"$124,454",2020-12-09,Karachi  ,03210902958,60
EMP0085,Salma Siddiqui,F,48,Operations,102783,2017-03-31,Lahore,03488028056,3.5
EMP0086,Ayesha Rizvi,Male,50,it,157816,,Gujranwala,0349-263-9155,500
EMP0087,Tahira Sheikh,Female,58,Operations,108244,2013-07-15,Karachi,003246268695,
EMP0088,Omar Zaidi,male,56,HR,185591,2014-07-23,Karachi,03326168609,89
EMP0089,Ali Akhtar,Female,39,Operations,143765,2018-03-18,Karachi,03336631419,62
EMP0090,Tahira Baig,M,49,Sales,70705,Not Available,Multan,+92-3124212949,150
EMP0091,Faisal Butt,F,,Hr,"$51,520",05-05-2014,,03332286339,3.5
EMP0092,Asad Javed,Female,57,Operations,94564,2016-04-04,Faisalabad,03060744107,84
EMP0093, Naveed Saleem ,Male,57,Sales,211177,2016-03-30,islamabad,+92-3168749531,12
EMP0094,Mariam Yousuf,male,29,HR,152781,2013-04-04,,0339 394 2023,59
EMP0095,Irfan  Rehman,Male,28,Sales,62736,2010-08-25,lahore,03428877659,39
EMP0096,,,,,,,,,
EMP0097,Nasreen Iqbal,Male,58,Marketing,100953,2010-09-08,Sialkot,03016278290,40
EMP0098,OMAR IQBAL,Male,60,Finance,43463-,2015-06-13,Faisalabad,03263449779,15
EMP0099,hassan mirza,F,22,IT,179747-,2010-07-03,Islamabad ,03071026330,1
EMP0100,Naveed Butt,Male,,Finance,75954,2010-10-21,Faisalabad,03163701561,14
EMP0101,Fatima Mehmood,Male,55,Marketing,219648,2019-11-10,Sialkot,03246688997,Poor
EMP0102,Javed Saleem,Female,56,,Rs. 159589,2011-03-09,KARACHI,03390577960,87
EMP0103,Shazia Farooq,Female,55,IT,49216,,multan,03219257341,10
EMP0104,Shahid Khan,Male,30,Sales,99369,2021-05-01,KARACHI,,21
EMP0105,Bilal Raza,Female,58,Operations,Rs. 128311,2020-11-03,Lahore,03155209042,18
EMP0106,Zainab Akhtar,F,45,Operations,231297,2016-12-11,Multan,03362938021,23
EMP0107,Tahira Iqbal,Male,44,HR ,204183,2015-08-12,Peshawar,03310815480,10
EMP0108,Waqar Naqvi,Female,50,IT,153235,2021-10-27,Gujranwala,03481339017,40
EMP0109,Hina Butt,Male,39,Sales,126423,2019-01-01,Multan,03467835480,
EMP0110,Asad Saleem,Male,44,MKTG,179220,"March 15, 2019",,03140454606,23
EMP0111,majid ahmed,Female,26,Marketing,,2010-07-28,Multan,03233405032,21
EMP0112,Nasreen Anwar,Male,49,Operations,191053,Last Year,Faisalabad,0343 867 3796,43
EMP0113,Akram Yousuf,F,58,IT,142768,2011-01-13,Islamabad,03095653922,59
EMP0114,Muhammad Ahmed,Female,31,Finance,210436,07/12/2012,Sialkot,+92-3181620955,22
EMP0115,Waqar Aziz,Male,37,Marketing,176929,2010-01-29,Sialkot,03224929252,93
EMP0116,Salma Rizvi,Female,58,IT,one lakh,2010-05-21,Islamabad,03420386681,93
EMP0117,ayesha raza,Female,24,Sales,204728,2010-05-28,Multan,03199627886,-5
EMP0118,Hina,Female,-5,marketing,,00-00-0000,Quetta,,91
EMP0119,Shahid Qureshi,Male,120,IT,186302,2017-07-03,Sialkot,,51
EMP0120,Tariq Hashmi,Male,-10,Marketing ,205442,---,Isb,03132590892,74
EMP0121,Farah Malik,Female,52,IT,"$127,864",2012-07-10,Faisalabad,03264306604,Good
EMP0122,Akram Ahmed,Female,52,Finance,one lakh,2012-11-29,Multan,03310361427,16
EMP0123,Omar Siddiqui,Female,41,Marketing,96106,2019-10-24,Lahore,03230611126,34
EMP0124,Imran Raza,Male,59,sales,71427,2019-03-27,Faisalabad,03187425465,94
EMP0125,Mariam Naqvi,Male,10,Ops,111186,2022-08-31,Faisalabad,,89
EMP0126,KHADIJA MEHMOOD,Female,54,Marketing,157944,23/09/2022,Peshawar,03469507748,74
EMP0127, Rizwan Mirza ,Male,31,marketing,117026,2020-07-18,Multan ,03013953310,5
EMP0128,Parveen  Baig,Female,200,IT,123120,2021-09-30,Karachi,03344973386,65
EMP0129,Salma Durrani,Male,29,Marketing,fifty thousand,2013-11-20,Karachi,N/A,95
EMP0130,Ayesha Raza,female,49,Finance,100399,2011-05-14,,,46
EMP0131,Omar Ahmed,Male,28,Hr,91107,2013-12-04,peshawar,003123121267,84
EMP0132,Majid Mirza,Male,32,Finance,169799,2022-08-08,Islamabad,+92-3010276712,79
EMP0133,Sana Akhtar,Male,47,Finance,117401,"March 15, 2019",Multan,03420417475,21
EMP0134,Shahid Malik,Female,41,Finance,237589,2023-08-09,Sialkot,03117288491,6
EMP0135,Samina Iqbal,Male,,Operations,104310,2012-12-24,quetta,0312 002 4337,73
EMP0136,Asad Hameed,Male,49,Finance,68747,2015-01-07,Sialkot,N/A,21
EMP0137,Samina Rizvi,Male,48,HR,82863,2013-07-11,Lahore,03174063707,14
EMP0138,Faisal Butt,Male,38,IT,10000000,2014-08-24,Gujranwala,0305 356 3380,82
EMP0139,Ahmed Javed,Female,28,Sales,173638-,2021-04-03,Sialkot,03096641627,-5
EMP0140,Irfan Farooq,Female,32,Sales,148417-,2022-07-11,Islambad,03047946640,84
EMP0141,Kamran Saleem,Female,-5,Operations,5000000,2019-07-18,Peshawar ,0344-411-3177,46
EMP0142,Waqar Sheikh,Male,46,IT,47228,,Islamabad,03341385480,73
EMP0143,Tahira Durrani,Male,34,Marketing ,"$68,158",Not Available,Karachi ,03387290137,51
EMP0144,Rabia Baig,Male,60,Marketing ,177089,2023-04-08,Gujranwala,03447274678,100
EMP0145,Imran Zaidi,Female,44,Marketing,242048,2021-07-14,Faisalabad,+92-3489017790,81
EMP0146,Bilal Jafri,Male,22,finance,100753,2022-02-20,Islamabad,+92-3017632213,62
EMP0147,Usman Jafri,Male,29,Finance,27583,2021-07-25,islamabad,03337563358,63
EMP0148,parveen baig,Male,27,Sales,91607-,2023-09-06,Multan,03330526614,13
EMP0149,Tahira Akhtar,Female,32,IT,10000000,2016-07-18,LAHORE,03310103235,23
EMP0150,Salma Ahmed,Female,57,Marketing,218910,N/A,Lhr,03271771697,3
EMP0151,Waqar Siddiqui,Male,33,Finance,158470,2011-12-15,Sialkot,03214971344,78
EMP0152,Imran Iqbal,Female,23,Sales,64186,2019-07-22,Multan,03353995738,60
EMP0153,Arif Khan,Male,29,IT,82270,2010-03-07,Quetta,03257280021,74
EMP0154,Rabia Rizvi,Female,29,Ops,,2019-08-09,Faisalabad,+92-3191188491,150
EMP0155,Imran Durrani,MALE,60,HR,97250,2017-08-15,Rawalpindi,0314 928 6523,41
EMP0156,Nasreen  Mirza,Male,24,it,84044,2021-10-18,Karachi,03193722553,77
EMP0157,Akram Akhtar,Male,35,Finance ,147080,30/07/2020,Karachi,03211075659,40
EMP0158,Naveed Aslam,Female,28,Operations,156070,01/03/2023,Rawalpindi,,27
EMP0159,Sadia Farooq,Male,29,operations,114846,2013-01-05,Rawalpindi,Not Given,90
EMP0160,Hassan Aziz,Female,29,I.T.,90953,2019-11-10,Rawalpindi,03412357163,61
EMP0161,Mariam Jafri,Female,51,Sales,29284,2012-01-10,,03135793154,78
EMP0162,Nadia Ali,Male,36,Sales,171193,2016-01-14,Sialkot,03490211229,83
EMP0163,Fatima Javed,Male,50,HR,175750,2020-03-26,,03332548933,33
EMP0164,Javed Rizvi,Female,57,marketing,173124,2014-01-05,Sialkot,03331461553,92
EMP0165,Sana Ahmed,Male,27,Operations,188622,2017-07-06,Karachi,03274653859,58
EMP0166, Kamran Aziz ,Female,43,Operations,77196,01-06-2022,Lahore,03392673451,33
EMP0167,Majid Kiani,Female,35,Finance,185334,2010-11-06,Gujranwala,0323-885-0050,18
EMP0168,Kamran Javed,Male,39,IT,224454,2012-07-14,Quetta,03030342394,76
EMP0169,NAVEED ZAIDI,FEMALE,,IT,108895,,Islamabad,03483573004,100
EMP0170,Majid Rehman,female ,26,Operations,190725,2021-02-19,Karachi,03316432263,100
EMP0171,Shazia Naqvi,Female,43,Sales,67026,2015-09-12,Islamabad,03222628163,4.2
EMP0172,Sana Raza,M,,Operations,102494,2017-06-11,Islamabad,,9
EMP0173,Asad Durrani,Male,60,Operations,82804,2021-10-09,Multan,003285232398,52
EMP0174,Ayesha Mirza,Male,53,Sales,179009,2011-08-21,Lahore,03023839095,86
EMP0175,Farah Jafri,Female,34,Fin,237527,2018-01-31,Multan,03370524116,8
EMP0176,Khadija Rehman,Male,,Finance,,2023-03-13,Peshawar,03334163569,28
EMP0177,Farah Akhtar,Male,47,hr,183246,2010-08-13,karachi,03125370116,50
EMP0178,Shazia Butt,Male,49,Operations,97239-,2013-01-08,Karachi,03467611344,93
EMP0179,Rukhsar Hussain,Male,55,Operations,105608,2011-04-17,MULTAN,0329-096-8403,33
EMP0180,Parveen Aslam,Female,38,Marketing,,2013-05-11,Karachi,03195976176,98
EMP0181,Mariam Butt,Female,60,IT,78892,2020-02-02,Sialkot,03115356036,24
EMP0182,Javed Malik,Female,31,Operations,86399,2020-03-28,Sialkot,03363711215,4.2
EMP0183,ZAINAB ALI,Male,24,Sales,74283,14/07/2010,Peshawar,03449393597,75
EMP0184,Ahmed Javed,female ,52,,211402,2018-03-03,Islamabad,03461015999,3
EMP0185,Omar Hussain,Female,53,IT,239094,2013-11-13,Sialkot,03358926292,
EMP0186,Salma Saleem,FEMALE,forty,Finance,138615,2010-04-28,Islamabad,03132575378,
EMP0187,Shazia Mehmood,Male,29,HR,Rs. 188651,2015-02-18,Islamabad,03054230687,30
EMP0188,Irfan Ali,Male,41,HR,35976,2019-09-05,Gujranwala,+92-3014876917,2
EMP0189,Parveen Saleem,Male,35,HR,221359,N/A,Rawalpindi,03069451721,76
EMP0190,Salma Ahmed,Female,60,Operations,122785,2018-08-28,Karachi,03055032119,68
EMP0191, Javed Yousuf ,Female,57,Sales,27698,2021-11-13,Quetta,03217200210,56
EMP0192,Rabia Saleem,Female,59,Finance,"$123,753",,Faisalabad,03428970845,43
EMP0193,Fatima Javed,Female,28,Operations,121684,30/07/2017,Multn,03117464009,41
EMP0194,Khadija  Akhtar,Female,45,FINANCE,229225,29-08-2011,Rawalpindi,03137015665,98
EMP0195,ayesha ali,Male,43,Marketing,92655,2012-04-29,Gujranwala,03457863282,31
EMP0196, Zainab Siddiqui ,Male,twenty-five,Operations,197577,2015-01-29,Multan,03272267690,19
EMP0197,Asad Hussain,Female,54,IT,32837,2020-05-22,Karachi  ,03181256437,32
EMP0198,Farah Hashmi,Male,54,HR,500,2023-01-22,Quetta,+92-3345462260,9
EMP0199,Naveed Baig,Male,53,Operations,151096,2015-06-19,Islamabad ,03491235551,15
EMP0200,Nadia Malik,Female,55,Marketing,62614,2012-01-26,Multan,0336-388-6874,98
EMP0201,Muhammad Hameed,Female,32,Sales,164975-,2012-04-30,multan,,88
EMP0202,Naveed Saleem,Female,30,Ops,118720,2011-11-03,Karachi  ,0314-198-3879,82
EMP0203,tariq kiani,Female,54,IT,78931,2017-01-24,Rawalpindi,03364070299,68
EMP0204,Ahmed Saleem,Male,47,Hr,"$99,258",24-12-2010,Rawalpindi,03157640750,Average
EMP0205,Akram Aslam,Male,45,Finance,143838,2022-11-04,Peshawar ,003492261717,33
EMP0206,Shahid Khan,male,51,Marketing,149829,2011-06-25,Quetta ,03344338557,Poor
EMP0207,Ahmed Aslam,Male,42,H.R,216326,2013-05-25,Peshawar,+92-3418036166,-5
EMP0208,Tahira Hashmi,Female,55,Finance,235862,2021-06-13,Lahore,03486794695,99
EMP0209,Imran Javed,F,29,Sales,173465,2019-12-09,Multan,03314921520,
EMP0210,Sadia Hussain,F,26,HR,220668,2022-11-05,Quetta,03174925522,88
EMP0211,Akram Javed,Male,60,,"$148,572",2011-01-25,Sialkot,03280771894,97
EMP0212,Nasreen Iqbal,Male,45,IT ,119617,2017-08-13,Multn,0323-113-2291,24
EMP0213,Parveen Ali,Male,50,Operations,67662,2021-10-09,Multan,03252286809,70
EMP0214,ARIF ZAIDI,Female,28,Sales,160659,2023-01-28,Quetta,03432586394,46
EMP0215,BILAL MIRZA,M,120,Finance,70198,2016-11-30,Sialkot,03276240805,83
EMP0216,Omar Ansari,Female,52,Sales,179920,2016-06-28,Karachi,03278005917,7
EMP0217,Salma Durrani,male,24,HR,64768,2011-11-17,Lahore ,03423390672,92
EMP0218,Salma Ansari,Male,29,Operations,188862-,10/17/2012,Quetta,03358061143,79
EMP0219,Rabia Hussain,Female,31,FINANCE,,2013-02-03,Islamabad,03015374399,29
EMP0220,sana qureshi,Male,39,Operations ,246377,2016-02-17,Sialkot,03368291059,33
EMP0221,Tahira Kiani,Male,49,H.R.,54719,2012-11-02,,+92-3484553321,93
EMP0222,Samina Ahmed,male,51,Sales,105320,2015-11-14,Quetta,,9
EMP0223,Nadia Jafri,Female,28,IT,101179,2011-06-05,Lahore,03096402126,33
EMP0224,Muhammad Zaidi,Female,49,Sales,118505,2019-08-23,karachi,+92-3296841005,8
EMP0225,Tahira Durrani,Female,33,it,86643,2022-07-04,Sialkot,0324 766 2975,48
EMP0226,Khadija Aslam,Male,53,HR,139844,2012-08-29,Rawalpindi,03455558092,40
EMP0227,Nasreen Javed,Female,thirty,HR,172439,2014-11-20,Gujranwala,03487453973,84
EMP0228,Parveen Raza,Male,54,Finance,231182,2018-06-15,Karachi ,+92-3426749296,4.2
EMP0229,Rabia Butt,Female,36,Finance,65117,2015-05-24,Sialkot,03428696461,28
EMP0230, Ahmed Mehmood ,Male,45,IT,192811-,2013-12-21,Faisalabad,03021139313,79
EMP0231,Rukhsar Qureshi,Male,25,IT,28478,2011-12-15,Sialkot,03426197802,13
EMP0232, Zainab Rehman ,M,54,,42085,2013-07-03,Gujranwala,03078906283,Excellent
EMP0233,Sadia Anwar,Male,51,I.T,84700,2020-01-13,Lahore,0300XXXXXXX,87
EMP0234,Ayesha Durrani,male,43,HR,122546,2014-10-20,Islamabad,03254314842,41
EMP0235,Imran Anwar,Female,200,HR,107064,2011-10-09,Faisalabad,03373238694,62
EMP0236,Tariq Jafri,Male,,Sales,243039,2017-03-31,Faisalabad,03028267234,82
EMP0237,Irfan Hussain,male,26,IT,194861,2018-12-06,Quetta,03027691897,1
EMP0238,salma iqbal,Female,41,HR,35322,2014-05-28,karachi,03438466364,49
EMP0239,Samina Yousuf,Male,50,HR,64912,2020-03-29,Sialkot,03410195370,21
EMP0240,Bilal Iqbal,Female,47,HR ,Rs. 144923,2019-10-11,Islamabad,03212532270,83
EMP0241,salma sheikh,female ,24,Finance,97406,2021-05-06,Quetta,0338-565-5250,29
EMP0242,sana kiani,Female,46,Finance,198769,2010-04-18,Karachi  ,03088488055,
EMP0243,Nadia Siddiqui,Female,30,Marketing ,197782,30-05-2017,Multan,03463208173,8
EMP0244,Omar Hameed,Female,27,Marketing,176262,2021-08-22,Rawalpindi,03291506831,25
EMP0245,Faisal Farooq,Male,27,IT,32554,2017-10-24,Multan,03051806457,28
EMP0246,Majid Qureshi,Male,34,,36543,2013-12-20,Rawalpindi,,13
EMP0247,Muhammad Yousuf,Female,52,Operations ,198352,2020-07-12,Islamabad,03180599711,62
EMP0248,Salma Kiani,Female,5,IT,207255,2020-01-09,Gujranwala,0300XXXXXXX,65
EMP0249,Parveen  Ali,female ,30,Sales,182051,2019-06-17,Karachi	,03185824274,78
EMP0250,MARIAM NAQVI,Male,5,Marketing,146737,2010-07-07,LAHORE,03197784963,86
EMP0251,Arif Siddiqui,MALE,31,Operations,38444,10/11/2011,Rawalpindi ,03045782585,79
EMP0252,Rizwan Aslam,Male,,OP,151527,10/03/2014,Islamabad,03348024987,18
EMP0253,Mariam Iqbal,Female,35,Operations,74635,2017-09-26,Karachi ,0300XXXXXXX,86
EMP0254,Javed Saleem,Male,25,IT ,,2019-01-25,Faisalabad,03049468102,46
EMP0255,Sana Raza,Male,49,Finance,188740,2022-04-13,Gujranwala,03216699946,54
EMP0256,Ali Farooq,Female,49,Sales,122658,12/18/2022,Multan,03081337227,500
EMP0257,Noreen Rehman,Male,29,IT,109069,2021-11-08,Karachi,03021615559,-1
EMP0258,Arif Qureshi,Male,60,Marketing,50056,2016-03-01,Karachi,03391110324,69
EMP0259,Asad Ansari,Female,48,Sales,83431,2012-03-11,Lahore,03264370744,2.8
EMP0260,Kamran Sheikh,Female,28,Operations,103165,2016-01-08,Gujranwala,0316-401-6050,66
EMP0261,Omar Butt,F,twenty-five,Operations,208683,2013-06-13,Multan,03020774925,52
EMP0262,Ayesha Yousuf,Male,59,,230552,2021-09-14,Gujranwala,03377805296,32
EMP0263,Parveen Hashmi,Male,31,Operations,54328,2012-08-12,Rawalpindi,0345 380 8298,69
EMP0264,Parveen Durrani,Female,42,Marketing,172754,00-00-0000,Lahore,003369906546,45
EMP0265,Fatima Anwar,MALE,-5,HR,34478,2016-12-20,Peshawar,03022863109,81
EMP0266,Noreen  Kiani,Female,23,Operations,112566,2018-06-10,Lahore,03059967612,4.2
EMP0267,Rabia Jafri,Male,42,Sales,46828,2014-03-11,islamabad,03425489892,61
EMP0268,Mariam Mirza,Male,60,Mktg,233230,04/12/2014,Peshawar,03010548114,
EMP0269,Akram Qureshi,Male,28,Sales,154559,2016-01-09,Peshawar,Not Given,27
EMP0270,Naveed Malik,Female,34,HR,224415,2015-07-30,Rawalpindi,0314-041-8991,67
EMP0271,arif hashmi,Female,49,HR,49199,2021-01-07,Faisalabad,03084615922,21
EMP0272,Zainab Qureshi,Male,41,I.T.,127675,2017-09-15,Multan,03326812821,73
EMP0273,Asad Zaidi,Female,34,Operations,204726,2017-01-17,Multan,03092451073,7
EMP0274,Sana Durrani,Female,24,Operations,188856,2020-12-20,Islamabad,03213647117,23
EMP0275,Khadija Malik,Male,42,IT,,2012-11-23,Lahore,03160141100,98
EMP0276,Faisal Farooq,Female,31,HR,500,2019-07-20,Gujranwala,03342342288,75
EMP0277,Rizwan Mehmood,male ,42,Operations,224368,2020/25/12,Islamabad,03493274201,95
EMP0278,Irfan Mirza,female ,42,Operations,107622,2023-03-16,Sialkot,0332-788-7066,88
EMP0279,Naveed Butt,Male,37,Sales ,84806-,2022-03-07,Sialkot,03354983217,23
EMP0280,Asad Sheikh,Female,40,Sales,219724,2023-02-02,Faisalabad,03461354247,-1
EMP0281,Faisal Baig,Male,5,Finance,,2012-08-30,Rawalpindi,03136855295,34
EMP0282,Muhammad Khan,M,35,Finance,122092,2012-10-07,Multan,03382262812,-1
EMP0283,Mariam Iqbal,Female,60,Operations,159364,2015-07-30,Rawalpindi,+92-3043577334,17
EMP0284,IMRAN IQBAL,Male,56,Sales,33137,2010-07-16,Quetta,03054057731,13
EMP0285,Mariam Mirza,Female,thirty,Finance,236582,2022-03-01,Rawalpindi,03111201911,86
EMP0286,Hassan Kiani,Male,28,,116286,2017-06-23,Peshawar,03359130598,45
EMP0287,Tahira Mehmood,Male,33,,41096,2013-01-12,Multn,003466211276,49
EMP0288,Shazia Saleem,Female,32,HR,"$162,125",2013-08-19,Karachi,03247554571,70
EMP0289,Hassan  Raza,Female,,Finance,39208-,2023-05-14,Quetta,003110592997,36
EMP0290,Rabia Durrani,Male,30,H.R,58377,2022-03-18,Gujranwala,03230653814,54
EMP0291,Hassan Javed,Male,28,Marketing,211096,2017-03-13,Sialkot,+92-3195777817,22
EMP0292,Muhammad Saleem,Female,-5,marketing,27292,2013-08-30,Gujranwala,03125646439,61
EMP0293,Waqar Ali,Female,58,FINANCE,157936,2011-03-17,Karachi  ,03137518599,-1
EMP0294,Ahmed Akhtar,Male,32,Sales,134568,2014-09-19,KARACHI,03068272017,50
EMP0295,Samina Farooq,Male,twenty-five,hr,,2013-04-15,Sialkot,03495982813,83
EMP0296,Javed Hashmi,female ,42,Sales,1000,2019-08-26,Islamabad,0306 610 1245,99
EMP0297,Rizwan Aslam,Female,39,Sales,102442,2019-06-23,Peshawar,0346 019 4200,150
EMP0298,Farah Akhtar,Male,47,hr,183246,2010-08-13,karachi,03125370116,50
